Date,Open*,High,Low,Close**,Volume,Market Cap,,
2017/11/24,0.000016,0.000022,0.000016,0.000016,"13,628","2,709,420",191,
2017/11/25,0.000016,0.000016,0.000006,0.000007,"10,703","2,631,570",190,
2017/11/26,0.000007,0.000015,0.000006,0.000015,"6,818","1,115,360",189,
2017/11/27,0.000015,0.000027,0.000009,0.00001,"8,134","2,639,480",188,
2017/11/28,0.00001,0.000016,0.000009,0.000009,"18,879","1,636,560",187,
2017/11/29,0.000009,0.00001,0.000004,0.000005,"8,225","1,624,340",186,
2017/11/30,0.000005,0.000023,0.000005,0.000023,"2,822","836,725",185,
2017/12/1,0.000023,0.000025,0.000005,0.000007,"12,852","3,926,850",184,
2017/12/2,0.000007,0.000017,0.000007,0.000017,"5,372","1,306,820",183,
2017/12/3,0.000015,0.000023,0.000006,0.000006,"6,458","2,683,520",182,
2017/12/4,0.000006,0.000013,0.000005,0.000012,"5,644","1,114,610",181,
2017/12/5,0.000012,0.000012,0.000006,0.00001,"10,986","2,105,510",180,
2017/12/6,0.00001,0.000018,0.00001,0.000014,"7,254","1,794,120",179,
2017/12/7,0.000014,0.000024,0.000009,0.000024,"13,573","2,416,620",178,
2017/12/8,0.000025,0.000032,0.00002,0.000023,"18,866","4,395,900",177,
2017/12/9,0.000023,0.000024,0.00001,0.000012,"46,691","4,103,940",176,
2017/12/10,0.000012,0.000017,0.000011,0.000015,"49,443","2,075,150",175,
2017/12/11,0.000014,0.000042,0.000014,0.000033,"233,929","2,523,340",174,
2017/12/12,0.000039,0.000127,0.000035,0.000077,"980,729","6,837,080",173,
2017/12/13,0.000078,0.000141,0.000073,0.000126,"1,096,770","13,803,100",172,
2017/12/14,0.000129,0.000179,0.000125,0.000172,"2,323,520","24,328,400",171,
2017/12/15,0.000174,0.000268,0.000169,0.000257,"2,268,370","32,825,700",170,
2017/12/16,0.000199,0.000531,0.000199,0.00048,"5,999,620","37,539,100",169,
2017/12/17,0.000523,0.000559,0.000112,0.000134,"4,543,060","98,838,500",168,
2017/12/18,0.000145,0.000328,0.000145,0.000259,"1,794,410","27,379,500",167,
2017/12/19,0.000259,0.000262,0.000151,0.000172,"1,324,270","49,062,500",166,
2017/12/20,0.000172,0.000295,0.000154,0.000267,"1,051,420","32,720,200",165,
2017/12/21,0.000267,0.000301,0.000147,0.000242,"1,320,110","50,716,400",164,
2017/12/22,0.000241,0.000241,0.000117,0.000192,"598,683","46,513,400",163,
2017/12/23,0.000193,0.000252,0.000164,0.000201,"462,174","37,546,300",162,
2017/12/24,0.000217,0.000249,0.000172,0.000239,"551,770","42,598,700",161,
2017/12/25,0.000237,0.000285,0.000221,0.000259,"589,969","46,472,400",160,
