Date,Open*,High,Low,Close**,Volume,Market Cap,,
2016-06-04,1.00E-08,1.08E-08,8.56E-09,9.80E-09,101,-,,746
2016-06-05,9.80E-09,1.01E-08,8.35E-09,8.90E-09,61,-,,745
2016-06-06,8.90E-09,9.45E-09,8.38E-09,9.00E-09,51,-,,744
2016-06-07,8.90E-09,9.17E-09,8.18E-09,9.10E-09,24,-,,743
2016-06-08,9.10E-09,9.29E-09,8.10E-09,8.40E-09,23,-,,742
2016-06-09,8.40E-09,1.45E-08,8.45E-09,1.17E-08,214,-,,741
2016-06-10,1.17E-08,1.22E-08,1.04E-08,1.05E-08,19,-,,740
2016-06-11,1.05E-08,1.06E-08,9.56E-09,1.03E-08,33,-,,739
2016-06-12,1.03E-08,1.23E-08,9.87E-09,1.00E-08,21,-,,738
2016-06-13,1.00E-08,1.22E-08,9.98E-09,1.11E-08,26,-,,737
2016-06-14,1.10E-08,1.40E-08,1.08E-08,1.15E-08,14,-,,736
2016-06-15,1.15E-08,1.29E-08,1.10E-08,1.17E-08,8,-,,735
2016-06-16,1.17E-08,1.36E-08,1.17E-08,1.29E-08,28,-,,734
2016-06-17,1.28E-08,3.04E-08,1.25E-08,1.65E-08,564,-,,733
2016-06-18,1.65E-08,2.54E-08,1.62E-08,1.97E-08,99,-,,732
2016-06-19,1.70E-08,2.09E-08,1.69E-08,1.79E-08,74,-,,731
2016-06-20,1.79E-08,1.91E-08,1.77E-08,1.78E-08,16,-,,730
2016-06-21,1.78E-08,1.79E-08,1.56E-08,1.69E-08,27,-,,729
2016-06-22,1.69E-08,1.73E-08,1.29E-08,1.33E-08,52,-,,728
2016-06-23,1.32E-08,1.53E-08,1.22E-08,1.40E-08,0,-,,727
2016-06-24,1.41E-08,1.58E-08,7.55E-09,7.70E-09,247,-,,726
2016-06-25,7.70E-09,1.50E-08,7.34E-09,1.04E-08,27,-,,725
2016-06-26,1.05E-08,1.31E-08,9.60E-09,9.80E-09,51,-,,724
2016-06-27,9.80E-09,1.27E-08,9.75E-09,1.19E-08,10,-,,723
2016-06-28,1.19E-08,1.37E-08,1.20E-08,1.24E-08,7,-,,722
2016-06-29,1.22E-08,1.40E-08,4.49E-09,1.03E-08,155,-,,721
2016-06-30,1.03E-08,1.15E-08,1.02E-08,1.03E-08,9,-,,720
2016-07-01,1.03E-08,1.31E-08,9.69E-09,1.04E-08,38,-,,719
2016-07-02,1.04E-08,1.14E-08,8.18E-09,8.20E-09,24,-,,718
2016-07-03,8.20E-09,9.70E-09,7.52E-09,9.10E-09,32,-,,717
2016-07-04,9.20E-09,1.15E-08,9.11E-09,1.01E-08,25,-,,716
2016-07-05,1.01E-08,1.07E-08,9.24E-09,1.06E-08,6,-,,715
2016-07-06,1.06E-08,1.06E-08,9.04E-09,9.20E-09,7,-,,714
2016-07-07,9.20E-09,9.26E-09,8.04E-09,8.20E-09,13,-,,713
2016-07-08,8.20E-09,9.08E-09,8.21E-09,9.00E-09,1,-,,712
2016-07-09,8.90E-09,1.04E-08,8.29E-09,8.20E-09,1,-,,711
2016-07-10,8.20E-09,1.02E-08,8.21E-09,1.02E-08,0,-,,710
2016-07-11,1.02E-08,1.02E-08,8.45E-09,8.40E-09,0,-,,709
2016-07-12,8.50E-09,1.08E-08,8.47E-09,1.06E-08,28,-,,708
2016-07-13,1.05E-08,1.07E-08,8.48E-09,9.10E-09,12,-,,707
2016-07-14,9.10E-09,9.35E-09,7.82E-09,7.80E-09,0,-,,706
2016-07-15,7.80E-09,8.10E-09,7.83E-09,8.00E-09,0,-,,705
2016-07-16,8.00E-09,9.92E-09,5.47E-09,5.50E-09,27,-,,704
2016-07-17,5.50E-09,9.64E-09,5.42E-09,9.60E-09,0,-,,703
2016-07-18,9.60E-09,9.62E-09,5.31E-09,8.50E-09,2,-,,702
2016-07-19,8.50E-09,9.01E-09,7.35E-09,7.30E-09,12,-,,701
2016-07-20,7.30E-09,8.02E-09,7.35E-09,7.90E-09,26,-,,700
2016-07-21,7.80E-09,8.39E-09,6.54E-09,8.30E-09,4,-,,699
2016-07-22,8.30E-09,8.36E-09,7.01E-09,8.10E-09,20,-,,698
2016-07-23,8.10E-09,8.77E-09,6.96E-09,8.70E-09,19,-,,697
2016-07-24,8.80E-09,8.88E-09,7.29E-09,8.70E-09,7,-,,696
2016-07-25,8.50E-09,8.69E-09,7.40E-09,8.50E-09,10,-,,695
2016-07-26,8.50E-09,8.60E-09,6.50E-09,7.60E-09,18,-,,694
2016-07-27,6.40E-09,7.82E-09,6.40E-09,6.80E-09,9,-,,693
2016-07-28,6.80E-09,7.76E-09,6.41E-09,6.50E-09,17,-,,692
2016-07-29,6.50E-09,7.76E-09,5.91E-09,6.70E-09,29,-,,691
2016-07-30,6.70E-09,7.43E-09,6.17E-09,7.10E-09,7,-,,690
2016-07-31,7.10E-09,7.16E-09,5.43E-09,5.40E-09,19,-,,689
2016-08-01,5.40E-09,6.81E-09,5.33E-09,6.60E-09,11,-,,688
2016-08-02,6.60E-09,6.83E-09,5.75E-09,5.80E-09,0,-,,687
2016-08-03,5.90E-09,6.36E-09,5.85E-09,6.30E-09,3,-,,686
